,Unnamed: 0,Unnamed: 0.1,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,FIPS,Last_Update,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
73,73,73,"Monroe, PA",US,41.0458,-75.2479,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
74,74,74,"Philadelphia, PA",US,39.9526,-75.1652,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
75,75,75,"Norfolk, VA",US,36.8508,-76.2859,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
76,76,76,"Arlington, VA",US,38.8816,-77.09100000000002,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
77,77,77,"Spotsylvania, VA",US,38.2042,-77.6078,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
78,78,78,"Loudoun, VA",US,39.0768,-77.6536,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
79,79,79,"Prince George's, MD",US,38.7849,-76.8721,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
80,80,80,"Pottawattamie, IA",US,41.3912,-95.4778,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
81,81,81,"Camden, NC",US,34.2465,-80.607,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
82,82,82,"Pima, AZ",US,32.0575,-111.6661,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
83,83,83,"Noble, IN",US,41.4277,-85.355,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
84,84,84,"Adams, IN",US,39.8522,-77.2865,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
85,85,85,"Boone, IN",US,40.0106,-86.4997,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
86,86,86,"Dane, WI",US,43.0186,-89.5498,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
87,87,87,"Pierce, WI",US,44.7509,-92.3814,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
88,88,88,"Cuyahoga, OH",US,41.4339,-81.6758,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
89,89,89,"Weber, UT",US,41.2603,-111.9522,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
90,90,90,"Bennington County, VT",US,43.0279,-73.135,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
91,91,91,"Carver County, MN",US,44.8254,-93.7842,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
92,92,92,"Charlotte County, FL",US,26.8946,-81.9098,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
93,93,93,"Cherokee County, GA",US,34.2515,-84.4803,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
94,94,94,"Collin County, TX",US,33.1795,-96.493,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
95,95,95,"Jefferson County, KY",US,38.1938,-85.6435,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
96,96,96,"Jefferson Parish, LA",US,29.6499,-90.1121,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
97,97,97,"Shasta County, CA",US,40.7909,-121.8474,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
98,98,98,"Spartanburg County, SC",US,34.8606,-81.9535,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
99,99,99,"Harrison County, KY",US,38.4333,-84.3542,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
100,100,100,"Johnson County, IA",US,41.6699,-91.5984,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
101,101,101,"Berkshire County, MA",US,42.3118,-73.1822,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
102,102,102,"Davidson County, TN",US,36.1343,-86.822,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
103,103,103,"Douglas County, OR",US,43.1261,-123.2492,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
104,104,104,"Fresno County, CA",US,36.9859,-119.2321,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
105,105,105,"Harford County, MD",US,39.5839,-76.3637,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
106,106,106,"Hendricks County, IN",US,39.8065,-86.5401,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
107,107,107,"Hudson County, NJ",US,40.7453,-74.0535,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
108,108,108,"Johnson County, KS",US,38.8454,-94.8521,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
109,109,109,"Kittitas County, WA",US,47.175,-120.9319,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
110,110,110,"Manatee County, FL",US,27.4799,-82.3452,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
111,111,111,"Marion County, OR",US,44.8446,-122.5927,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
112,112,112,"Okaloosa County, FL",US,30.5773,-86.6611,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
113,113,113,"Polk County, GA",US,34.0132,-85.1479,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
114,114,114,"Riverside County, CA",US,33.9533,-117.3961,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
115,115,115,"Shelby County, TN",US,35.1269,-89.9253,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
116,116,116,"St. Louis County, MO",US,38.6103,-90.4125,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
117,117,117,"Suffolk County, NY",US,40.9849,-72.6151,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
118,118,118,"Ulster County, NY",US,41.8586,-74.3118,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
119,119,119,"Volusia County, FL",US,29.028,-81.0755,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
120,120,120,"Fairfax County, VA",US,38.9085,-77.2405,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
121,121,121,"Rockingham County, NH",US,42.9931,-71.0498,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
122,122,122,"Washington, D.C.",US,38.9072,-77.0369,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
123,123,123,"Montgomery County, PA",US,40.229,-75.3879,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
124,124,124,"Alameda County, CA",US,37.6017,-121.7195,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
125,125,125,"Broward County, FL",US,26.1901,-80.3659,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
126,126,126,"Lee County, FL",US,26.663,-81.9535,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
127,127,127,"Pinal County, AZ",US,32.8162,-111.2845,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
128,128,128,"Rockland County, NY",US,41.1489,-73.983,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
